epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3222,5.57998,12.7486,4.13606,0,0,0,0,6.1318,7.88503,4.18144,9.22963e-06,9.22963e-06,9.22963e-06
2,70.3423,5.86569,13.1873,4.26501,0,0,0,0,5.92342,7.82006,4.50857,1.85017e-05,1.85017e-05,1.85017e-05
3,104.48,5.82812,10.546,4.31552,0,0,0,0,5.67805,9.73428,5.25556,2.77122e-05,2.77122e-05,2.77122e-05
4,138.476,5.94781,10.8152,4.29276,0,0,0,0,5.57457,9.55876,5.39559,2.77228e-05,2.77228e-05,2.77228e-05
5,172.367,5.82792,12.3812,4.14003,0,0,0,0,5.55978,9.07612,5.27104,2.76304e-05,2.76304e-05,2.76304e-05
6,207.245,5.55434,10.2192,4.30795,0,0,0,0,5.49684,9.82315,5.40985,2.7538e-05,2.7538e-05,2.7538e-05
7,241.516,5.87347,10.4633,4.26297,0,0,0,0,5.45779,9.49669,5.33664,2.74456e-05,2.74456e-05,2.74456e-05
8,276.961,5.62966,11.5294,4.23464,0,0,0,0,5.3952,9.95347,5.44823,2.73532e-05,2.73532e-05,2.73532e-05
9,311.188,5.69926,11.1347,4.15867,0,0,0,0,5.33911,9.20671,5.42554,2.72608e-05,2.72608e-05,2.72608e-05
10,343.803,5.79153,11.0249,4.19168,0,0,0,0,5.27186,8.18621,5.26143,2.71684e-05,2.71684e-05,2.71684e-05
11,377.197,5.6913,10.9996,4.26224,0,0,0,0,5.25815,8.34759,5.24798,2.7076e-05,2.7076e-05,2.7076e-05
12,409.185,5.64576,9.85558,4.18302,0,0,0,0,5.1714,7.95166,5.16072,2.69836e-05,2.69836e-05,2.69836e-05
13,442.093,5.81334,11.9291,4.18426,0,0,0,0,5.14314,8.14831,5.23221,2.68912e-05,2.68912e-05,2.68912e-05
14,474.185,5.50555,9.18973,4.23017,0,0,0,0,5.08029,7.92519,5.17897,2.67988e-05,2.67988e-05,2.67988e-05
15,506.522,5.62263,10.1045,4.13813,0,0,0,0,5.0565,7.81783,4.97452,2.67064e-05,2.67064e-05,2.67064e-05
16,538.579,5.64754,9.80369,4.14984,0,0,0,0,4.98656,7.87714,5.04574,2.6614e-05,2.6614e-05,2.6614e-05
17,570.377,5.44938,9.83677,4.08726,0,0,0,0,4.92925,7.82352,5.01691,2.65216e-05,2.65216e-05,2.65216e-05
18,603.226,5.60399,9.90726,4.09657,0,0,0,0,4.90069,7.94509,5.04133,2.64292e-05,2.64292e-05,2.64292e-05
19,635.518,5.53676,9.45104,4.09053,0,0,0,0,4.82291,7.9254,5.20642,2.63368e-05,2.63368e-05,2.63368e-05
20,667.874,5.23006,9.92751,4.03974,0,0,0,0,4.70418,7.84467,5.22739,2.62444e-05,2.62444e-05,2.62444e-05
21,700.419,5.31122,9.64878,4.03171,0,0,0,0,4.72014,7.93934,5.23877,2.6152e-05,2.6152e-05,2.6152e-05
22,733.122,5.4679,9.89093,3.9719,0,0,0,0,4.67107,8.06128,5.22446,2.60596e-05,2.60596e-05,2.60596e-05
23,764.921,5.11047,9.43939,4.05209,0,0,0,0,4.67147,7.91705,4.99633,2.59672e-05,2.59672e-05,2.59672e-05
24,797.102,5.32899,10.2904,3.94134,0,0,0,0,4.61465,7.88563,5.05393,2.58748e-05,2.58748e-05,2.58748e-05
25,829.488,5.30568,9.57353,3.99774,0,0,0,0,4.51967,8.23527,5.26899,2.57824e-05,2.57824e-05,2.57824e-05
26,862.328,5.1656,9.45878,3.95528,0,0,0,0,4.55611,8.10568,5.18501,2.569e-05,2.569e-05,2.569e-05
27,895.482,5.06008,9.59621,3.89973,0,0,0,0,4.49718,8.73645,5.35007,2.55976e-05,2.55976e-05,2.55976e-05
28,927.424,5.16403,8.96005,3.9828,0,0,0,0,4.49332,7.77509,4.79382,2.55052e-05,2.55052e-05,2.55052e-05
29,959.163,4.97184,8.82625,3.95804,0,0,0,0,4.45574,7.79531,4.83679,2.54128e-05,2.54128e-05,2.54128e-05
30,991.348,5.24533,8.91555,3.94365,0,0,0,0,4.44373,7.76256,4.79736,2.53204e-05,2.53204e-05,2.53204e-05
31,1024.36,4.99948,8.69282,3.94069,0,0,0,0,4.45408,8.53082,4.99268,2.5228e-05,2.5228e-05,2.5228e-05
32,1056.42,4.86454,9.44763,3.84889,0,0,0,0,4.37939,7.85636,4.97567,2.51356e-05,2.51356e-05,2.51356e-05
33,1088.76,5.0215,8.93559,3.91311,0,0,0,0,4.42865,7.8417,4.90039,2.50432e-05,2.50432e-05,2.50432e-05
34,1121.42,5.02376,8.74884,3.92555,0,0,0,0,4.37484,7.80431,4.6286,2.49508e-05,2.49508e-05,2.49508e-05
35,1153.3,4.81398,8.49158,3.94047,0,0,0,0,4.36872,7.92913,4.88243,2.48584e-05,2.48584e-05,2.48584e-05
36,1185.49,4.79972,8.68563,3.90631,0,0,0,0,4.34799,7.7627,4.8882,2.4766e-05,2.4766e-05,2.4766e-05
37,1217.58,4.82575,8.47814,3.89453,0,0,0,0,4.33782,7.69982,4.77633,2.46736e-05,2.46736e-05,2.46736e-05
38,1250.37,4.90069,8.69848,3.85757,0,0,0,0,4.40889,7.93178,5.06977,2.45812e-05,2.45812e-05,2.45812e-05
39,1282.21,4.55752,8.67382,3.8495,0,0,0,0,4.3335,7.71327,4.9787,2.44888e-05,2.44888e-05,2.44888e-05
40,1314.88,4.72873,8.56373,3.88593,0,0,0,0,4.34426,7.78604,5.03347,2.43964e-05,2.43964e-05,2.43964e-05
41,1347.03,4.68868,8.64941,3.85896,0,0,0,0,4.37118,7.71895,4.80072,2.4304e-05,2.4304e-05,2.4304e-05
42,1379.5,4.81388,8.55456,3.76874,0,0,0,0,4.36925,7.73053,4.8716,2.42116e-05,2.42116e-05,2.42116e-05
43,1412.04,4.6239,8.53548,3.84247,0,0,0,0,4.33122,7.77128,5.05328,2.41192e-05,2.41192e-05,2.41192e-05
44,1444.22,4.71526,8.51463,3.85093,0,0,0,0,4.35469,7.67285,4.82712,2.40268e-05,2.40268e-05,2.40268e-05
45,1476.38,4.65106,8.46056,3.81678,0,0,0,0,4.24153,7.64234,4.55943,2.39344e-05,2.39344e-05,2.39344e-05
46,1508.83,4.69207,8.65494,3.77355,0,0,0,0,4.27237,7.63224,4.70223,2.3842e-05,2.3842e-05,2.3842e-05
47,1540.94,4.60295,8.42093,3.79473,0,0,0,0,4.19993,7.61751,4.47148,2.37496e-05,2.37496e-05,2.37496e-05
48,1572.8,4.47151,8.41238,3.79973,0,0,0,0,4.20196,7.6292,4.33308,2.36572e-05,2.36572e-05,2.36572e-05
49,1605.03,4.59101,8.3585,3.75893,0,0,0,0,4.18647,7.6306,4.2922,2.35648e-05,2.35648e-05,2.35648e-05
50,1636.86,4.46293,8.34569,3.7645,0,0,0,0,4.16916,7.60243,4.4514,2.34724e-05,2.34724e-05,2.34724e-05
51,1668.98,4.28679,8.32498,3.81488,0,0,0,0,4.33549,7.66307,4.69381,2.338e-05,2.338e-05,2.338e-05
52,1701.1,4.34799,8.88086,3.67863,0,0,0,0,4.28435,7.63122,4.64058,2.32876e-05,2.32876e-05,2.32876e-05
53,1733.58,4.43431,8.37641,3.75198,0,0,0,0,4.28589,7.65259,4.67965,2.31952e-05,2.31952e-05,2.31952e-05
54,1765.96,4.48409,8.40499,3.74014,0,0,0,0,4.22624,7.61434,4.43994,2.31028e-05,2.31028e-05,2.31028e-05
