epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8934,5.11847,15.8911,2.32607,0,0,0,0,6.24124,6.50457,2.60808,9.12593e-06,9.12593e-06,9.12593e-06
2,28.0705,5.34473,13.1834,2.36139,0,0,0,0,6.30183,6.50662,2.78204,1.83983e-05,1.83983e-05,1.83983e-05
3,34.9591,5.2393,10.8471,2.3098,0,0,0,0,6.34275,6.50782,2.85684,2.76092e-05,2.76092e-05,2.76092e-05
4,42.115,5.10991,13.451,2.23717,0,0,0,0,5.2203,6.48338,2.20147,2.77228e-05,2.77228e-05,2.77228e-05
5,49.1971,5.16526,11.1198,2.1946,0,0,0,0,4.90656,6.47614,2.13247,2.76304e-05,2.76304e-05,2.76304e-05
6,58.0539,4.89078,11.1275,2.17515,0,0,0,0,4.9205,8.12745,2.35735,2.7538e-05,2.7538e-05,2.7538e-05
7,67.26,4.91439,10.7418,2.17731,0,0,0,0,4.85251,7.79459,2.29912,2.74456e-05,2.74456e-05,2.74456e-05
8,77.1283,4.82467,10.1424,2.13863,0,0,0,0,4.80791,8.2219,2.29691,2.73532e-05,2.73532e-05,2.73532e-05
9,88.1087,4.82794,10.1486,2.09392,0,0,0,0,4.71736,8.92694,2.28034,2.72608e-05,2.72608e-05,2.72608e-05
10,99.4215,4.83387,10.2637,2.03297,0,0,0,0,4.64592,8.35822,2.20193,2.71684e-05,2.71684e-05,2.71684e-05
11,108.251,4.70556,9.52857,2.01581,0,0,0,0,4.50356,7.34232,2.05736,2.7076e-05,2.7076e-05,2.7076e-05
12,116.713,4.54969,9.11721,2.006,0,0,0,0,4.45414,7.01008,1.99418,2.69836e-05,2.69836e-05,2.69836e-05
13,125.851,4.65198,9.32983,1.92336,0,0,0,0,4.37781,7.28385,1.99398,2.68912e-05,2.68912e-05,2.68912e-05
14,134.664,4.46849,9.04385,1.94676,0,0,0,0,4.33664,7.07716,1.94017,2.67988e-05,2.67988e-05,2.67988e-05
15,142.553,4.54842,9.04193,1.89002,0,0,0,0,4.28393,6.74751,1.88345,2.67064e-05,2.67064e-05,2.67064e-05
16,150.439,4.48242,8.87783,1.84418,0,0,0,0,4.20918,6.64594,1.82282,2.6614e-05,2.6614e-05,2.6614e-05
17,158.574,4.39352,8.7588,1.83704,0,0,0,0,4.20836,6.65703,1.81732,2.65216e-05,2.65216e-05,2.65216e-05
18,166.314,4.47161,8.68703,1.8515,0,0,0,0,4.12783,6.62028,1.78057,2.64292e-05,2.64292e-05,2.64292e-05
19,173.985,4.3967,8.80635,1.80143,0,0,0,0,4.10793,6.62563,1.77158,2.63368e-05,2.63368e-05,2.63368e-05
20,181.457,4.25026,8.59951,1.76585,0,0,0,0,4.06233,6.52118,1.74009,2.62444e-05,2.62444e-05,2.62444e-05
21,189.107,4.35122,8.7067,1.7733,0,0,0,0,4.04184,6.52683,1.72925,2.6152e-05,2.6152e-05,2.6152e-05
